Model_Type,planar,connected,avg_deg,median_deg,max_deg,avg_st_con
Real Data,0.72,0.89,5.42,5.0,24.28,1.43
2,0.0,1.0,5.6,5.41,11.18,1.19
3,1.0,0.9,5.57,5.56,9.66,4.29
4,1.0,1.0,3.6,3.64,7.49,2.46
4b,1.0,1.0,2.37,2.13,5.63,1.25
5,0.0,1.0,19.11,19.0,29.71,2.21
5b,0.07,1.0,17.73,17.6,28.03,1.95
6,0.0,1.0,7.57,7.5,13.08,6.02
7,0.0,1.0,6.17,5.93,12.29,4.1
8,0.0,1.0,5.49,5.4,10.16,1.45
9,0.0,1.0,5.57,5.53,10.17,4.2
9b,0.02,1.0,4.08,3.93,8.31,2.73
10,0.0,1.0,6.01,5.8,11.42,4.56
10b,0.0,1.0,4.55,4.58,9.61,3.21
11,0.0,1.0,5.48,5.29,11.37,1.28
11b,0.0,1.0,5.43,5.23,11.59,1.3
11c,0.0,1.0,5.46,5.24,11.9,1.35
12,0.0,1.0,5.45,5.39,10.5,1.44
