State,Map Type,Avg Degree,Median Degree,Max Degree
ga,bg,5.516250335750739,5.0,18
in,bg,5.474480151228733,5.0,16
mo,bg,5.492347445835818,5.0,17
al,bg,5.555668789808917,5.0,20
sd,bg,5.276657060518732,5.0,13
nh,bg,5.426278836509528,5.0,11
tn,bg,5.530469092503288,5.0,18
nd,bg,5.177215189873418,5.0,13
ct,bg,5.511782032400589,5.0,33
hi,bg,5.410895660203139,5.0,72
ca,bg,5.418674581169212,5.0,42
mn,bg,5.406714832129197,5.0,17
id,bg,5.376947040498442,5.0,20
me,bg,5.5641891891891895,5.0,27
wv,bg,5.450884685784015,5.0,14
mi,bg,5.3563081326019555,5.0,29
nc,bg,5.522148783574743,5.0,25
ak,bg,5.25,5.0,22
ri,bg,5.441919191919192,5.0,42
oh,bg,5.5078125,5.0,34
fl,bg,5.435464595159845,5.0,44
sc,bg,5.531103286384977,5.0,26
ar,bg,5.542284219703575,5.0,16
md,bg,5.457710223093896,5.0,38
nm,bg,5.399008674101611,5.0,19
ok,bg,5.360995850622406,5.0,18
la,bg,5.533302282254309,5.0,25
wa,bg,5.598192430803992,5.0,56
or,bg,5.548148148148148,5.0,24
ks,bg,5.275904104022755,5.0,15
ut,bg,5.375247524752475,5.0,21
wy,bg,5.378555798687089,5.0,15
ny,bg,5.390416925948974,5.0,63
ms,bg,5.513292433537832,5.0,21
il,bg,5.4255405132349965,5.0,45
vt,bg,5.340579710144928,5.0,11
de,bg,5.351274787535411,5.0,18
mt,bg,5.413333333333333,5.0,15
va,bg,5.50561797752809,5.0,23
tx,bg,5.423972529241335,5.0,38
ma,bg,5.577013291634089,5.0,80
ky,bg,5.528064786372521,5.0,20
ia,bg,5.419903810580836,5.0,15
co,bg,5.421882700837851,5.0,24
nj,bg,5.507501136535839,5.0,45
az,bg,5.256652000838048,5.0,29
pa,bg,5.5708247321340805,5.0,29
