State,Map Type,Planar,Connected,Avg Degree,Median Degree,Max Degree
or,t,True,True,5.534465534465535,5.0,17
ut,t,True,True,5.446927374301676,5.0,25
ks,t,True,True,5.230398069963812,5.0,13
nm,t,True,True,5.330065359477124,5.0,20
ok,t,True,True,5.261410788381743,5.0,12
la,t,False,True,5.563400576368876,5.0,18
wa,t,False,True,5.589686098654709,5.0,40
ny,t,True,False,5.485862132692663,5.0,47
ms,t,True,True,5.4168564920273345,5.0,15
wy,t,True,True,4.975,5.0,13
de,t,True,True,5.320610687022901,5.0,17
vt,t,True,True,5.191709844559585,5.0,13
mt,t,True,True,5.266457680250784,5.0,15
tx,t,True,True,5.381090487238979,5.0,28
va,t,False,True,5.517743403093721,5.0,18
ma,t,False,True,5.650617283950617,5.0,45
ky,t,True,True,5.480857580398163,5.0,13
il,t,False,True,5.346401225114855,5.0,45
az,t,True,True,5.204532577903683,5.0,23
pa,t,False,True,5.5954730121880445,5.0,16
ia,t,True,True,5.241071428571429,5.0,13
co,t,False,True,5.402902557014513,5.0,16
nj,t,False,True,5.5580009170105455,5.0,26
sd,t,True,True,5.12396694214876,5.0,11
in,t,True,True,5.456367924528302,5.0,12
ga,t,False,True,5.5522174535050075,5.0,14
mo,t,True,True,5.426844014510278,5.0,15
al,t,True,True,5.586638830897703,5.0,15
nd,t,True,True,4.991228070175438,5.0,12
ct,t,True,True,5.567383918459796,5.0,26
hi,t,True,False,5.396963123644252,5.0,57
mn,t,True,True,5.4511627906976745,5.0,13
ca,t,False,False,5.471793186548362,5.0,41
nh,t,True,True,5.365714285714286,5.0,12
tn,t,True,True,5.515579071134627,5.0,13
mi,t,True,True,5.295989393437189,5.0,25
nc,t,False,True,5.5553892215568865,5.0,16
id,t,True,True,5.245614035087719,5.0,14
me,t,True,True,5.597051597051597,5.0,15
wv,t,True,True,5.238095238095238,5.0,12
oh,t,False,True,5.522095959595959,5.0,27
fl,t,True,False,5.463953488372093,5.0,34
md,t,True,True,5.414237288135594,5.0,26
ar,t,True,True,5.4434993924665855,5.0,13
sc,t,True,True,5.558578987150415,5.0,17
ak,t,True,True,5.129943502824859,5.0,14
ri,t,True,False,5.344,5.0,25
