,planar,connected,avg_deg,median_deg,max_deg
Model 2,0.0,1.0,5.60,5.41,11.18
Model 3,1.0,1.0,5.47,5.45,9.21
Model 4,1.0,1.0,3.55,3.55,7.04
Model 4b,1.0,1.0,2.36,2.16,5.21
Model 5,0.0,1.0,9.86,9.8,16.79
Model 5b,0.09,1.0,8.52,8.35,15.04
Model 6,0.0,1.0,7.47,7.37,12.43
Model 7,0.0,1.0,6.1,5.91,11.47
Model 8,0.47,1.0,2.49,2.0,7.13
Model 9,0.0,1.0,5.52,5.41,9.74
Model 9b,0.02,1.0,4.06,3.91,7.98
Model 10,0.0,1.0,5.93,5.74,10.85
Model 10b,0.0,1.0,4.5,4.48,9.17
Model 11,0.00,1.00,5.48,5.34,10.93
Model 11b,0.00,1.00,5.44,5.28,10.93
Model 11c,0.00,1.00,5.43,5.28,11.18
